,Omega_m,Omega_b,h,n_s,sigma_8
0,0.1755,0.06681,0.7737,0.8849,0.6641
1,0.2139,0.05557,0.8599000000000001,0.9785,0.8619
2,0.1867,0.04503,0.6189,0.8307,0.7187
3,0.3271,0.06875,0.6313,0.8135,0.8938999999999998
4,0.1433,0.06347,0.6127,1.1501,0.7699
5,0.4813,0.05637,0.5331,0.9041,0.9289
6,0.4149,0.04539,0.5761000000000001,0.9911,0.6283
7,0.2423,0.06275,0.5675,0.8305,0.7145
8,0.3215,0.05487,0.6429,1.0531,0.7509
9,0.4197000000000001,0.05329,0.5265,0.9665,0.6233
10,0.1821,0.04809,0.5865,0.9565,0.8101
11,0.4195000000000001,0.04627,0.7635,1.0415,0.8046999999999999
12,0.1381,0.05945,0.5939,1.0353,0.8967
13,0.2965,0.04883,0.7613,0.9025,0.9441
14,0.1327,0.03307,0.7339,1.1413,0.6187
15,0.4791000000000001,0.06759,0.8131,0.9573,0.7390999999999999
